term_str,x,y,n,dfidf,pos_group
divine,-5.431085,6.0119166,16,28.117036768742114,NN
division,-5.225412,5.1629977,12,24.59431618637297,NN
divisions,3.5682647,-5.120998,10,22.250877708197276,NN
do,-10.157522,29.337616,221,10.658230506810046,VB
does,-7.8302283,24.233204,44,28.437588093748378,VB
doing,-5.3825746,15.286246,18,26.35676655364204,VB
domestic,5.6331534,-13.457621,48,28.929348421755872,JJ
done,-9.777689,27.494621,54,28.929348421755872,VB
doubt,-8.764319,25.27546,24,29.00582481748225,NN
down,-4.1329055,5.0205946,23,29.00582481748225,RP
drawn,-5.971147,19.582932,13,22.250877708197276,VB
dream,-2.469405,-4.1944904,17,23.502912408741125,NN
dreams,-0.59730697,15.901533,13,19.17838327682102,NN
due,-1.4297407,-2.3693597,30,29.00582481748225,JJ
during,7.0556316,-10.859456,27,29.00582481748225,IN
duties,3.2354338,-11.638421,90,24.319864607484806,NN
duty,10.139279,-20.156757,116,21.16053487214126,NN
each,5.4097447,-22.342607,117,16.33977621132777,DT
early,1.7169323,-0.029522246,22,24.59431618637297,JJ
earnest,-2.7768323,6.4323344,18,25.541209043760983,JJ
earth,7.6230655,-23.525608,55,28.437588093748378,NN
economic,3.9705105,-11.723952,46,28.117036768742114,JJ
economy,2.51604,-3.058587,49,26.777982833515537,NN
education,6.299029,-15.04959,32,29.188632372745946,NN
effect,-1.8276913,0.7169048,36,28.796246828663442,NN
effective,-2.9305894,1.0899228,24,27.051959939986375,JJ
effects,0.5227203,-7.2462764,11,20.818033540269386,NN
efficiency,-1.3136108,6.665189,11,22.250877708197276,NN
efficient,-5.6971226,-8.677447,12,22.250877708197276,JJ
effort,0.23676196,-2.6685748,44,28.437588093748378,NN
efforts,-0.57058567,3.1854234,37,28.437588093748378,NN
either,2.9676292,-1.3842057,43,28.929348421755872,CC
elected,-4.2773166,21.875248,16,25.541209043760983,VB
election,-0.8053493,2.3190947,30,27.636067080538773,NN
elections,0.8816112,-8.534123,12,24.59431618637297,NN
elements,10.295146,-11.061388,11,24.59431618637297,NN
emergency,7.7129407,-21.809435,11,19.17838327682102,NN
employed,-5.7825975,10.5066395,13,27.051959939986375,VB
employees,-3.0516534,-5.73773,10,15.125438854098638,NN
employment,5.863013,-15.64914,13,24.59431618637297,NN
enable,-8.0228405,15.527387,12,25.541209043760983,VB
encourage,-2.1071718,1.0070152,21,29.00582481748225,VB
encouragement,3.4504712,-12.439251,21,27.636067080538773,NN
encouraging,0.4800741,7.6052527,10,22.250877708197276,VB
end,3.2410579,-2.3443851,42,26.23407353748423,NN
endeavor,-8.303876,20.153,27,29.00582481748225,NN
ends,2.4557104,-9.869515,10,23.502912408741125,NN
endure,-9.7101145,18.794605,11,24.59431618637297,VB
enemies,6.7310534,-13.167692,17,26.35676655364204,NN
energies,6.251528,-14.278457,10,23.502912408741125,NN
energy,0.38238192,-10.439888,18,28.117036768742114,NN
enforce,2.0848217,-8.019558,18,24.59431618637297,VB
enforced,-8.099925,23.5747,12,20.818033540269386,VB
enforcement,3.683715,-13.701888,19,17.297158093186486,NN
engaged,-3.6091022,-4.954895,16,26.35676655364204,VB
enjoy,-7.901653,5.2774153,17,25.541209043760983,VB
enjoyed,-4.540792,17.933256,13,26.35676655364204,VB
enlarged,0.9161945,13.406943,11,25.541209043760983,JJ
enlightened,2.5138507,-11.122298,23,28.796246828663442,JJ
enough,-5.0395813,18.81394,27,27.636067080538773,RB
enter,-7.46775,25.087044,20,27.051959939986375,VB
entering,0.70804334,0.22249904,10,23.502912408741125,VB
enterprise,3.762668,-10.406016,28,29.00582481748225,NN
enterprises,2.29418,5.1037097,12,22.250877708197276,NN
entire,4.4690313,-4.0624237,16,24.59431618637297,JJ
entirely,-3.330434,7.1512017,11,20.818033540269386,RB
entitled,-3.8285706,5.031018,14,23.502912408741125,VB
equal,2.7295706,-1.2358314,71,24.319864607484806,JJ
equality,0.6752018,-4.1501956,25,29.135211801540407,NN
equally,-3.344393,12.831417,31,27.636067080538773,RB
era,2.3026853,-12.765885,18,24.59431618637297,NN
error,3.8268638,8.180457,11,19.17838327682102,NN
errors,-4.7379456,16.952482,11,22.250877708197276,NN
especially,-6.8839464,4.4508486,22,28.117036768742114,RB
essential,0.35475677,-6.121503,40,27.714749706752166,JJ
establish,-4.642711,2.5627382,18,27.636067080538773,VB
established,-6.2246594,19.508747,28,29.00582481748225,VB
establishment,9.385934,-20.75163,17,27.636067080538773,NN
europe,3.8356497,-21.355947,19,25.541209043760983,NN
european,4.875182,-12.384226,14,20.818033540269386,JJ
even,-5.128301,8.696292,66,23.592493657326887,RB
event,0.44956148,11.104183,16,23.502912408741125,NN
events,0.10863943,1.4132193,23,28.501755416394552,NN
ever,-3.3801405,20.432827,77,23.592493657326887,RB
every,8.220586,-26.134148,276,9.42706621456816,DT
everything,-8.483791,17.868841,13,25.541209043760983,NN
everywhere,-5.050475,11.466278,19,27.051959939986375,RB
evil,-0.68803936,-4.83483,26,28.796246828663442,NN
evils,9.494207,-12.428217,12,23.502912408741125,NN
exalted,0.16652507,2.5273042,12,25.541209043760983,VB
example,-0.6187174,-4.4324393,36,29.188632372745946,NN
examples,5.010335,2.8622084,10,22.250877708197276,NN
except,-3.8248045,5.9102187,19,27.636067080538773,IN
execute,-1.9361233,1.7086183,18,28.117036768742114,VB
execution,6.1366005,-23.139992,12,24.59431618637297,NN
executive,11.14523,-26.16301,97,27.714749706752166,NN
exercise,7.540584,-17.65431,41,29.135211801540407,NN
exercised,-0.015411975,9.352737,12,20.818033540269386,VB
exist,-7.542571,13.179947,17,24.59431618637297,VB
existed,6.7030053,-3.4813,11,22.250877708197276,VB
existence,6.640097,-15.367347,34,28.713533107284082,NN
existing,-1.2374264,-0.42976022,18,23.502912408741125,VB
exists,-0.18875617,14.248259,14,24.59431618637297,VB
expansion,8.004514,-21.147058,11,23.502912408741125,NN
expect,-9.07462,25.469166,32,28.796246828663442,VB
expected,-8.133943,23.239985,17,27.051959939986375,VB
expenditure,2.7298546,-0.18279296,14,25.541209043760983,NN
expenditures,1.4461448,-1.9932649,24,28.117036768742114,NN
experience,-11.666626,11.941314,52,27.714749706752166,NN
experiment,2.3555644,-4.8124986,22,28.117036768742114,NN
express,-6.2762356,3.7232206,21,28.796246828663442,VB
expressed,2.941467,5.4669743,13,25.541209043760983,VB
expression,8.817065,-18.345966,27,28.501755416394552,NN
extend,-2.811047,13.081026,16,26.35676655364204,VB
extended,-1.7098726,15.921215,31,28.501755416394552,VB
extension,1.5195135,10.863804,10,22.250877708197276,NN
extent,2.434312,-2.315628,30,28.796246828663442,NN
extraordinary,-1.781221,0.3110141,11,23.502912408741125,JJ
eyes,-1.9462103,-12.831887,13,24.59431618637297,NN
face,-2.669025,10.523162,30,29.135211801540407,VB
fact,-1.2248678,-5.740742,30,29.188632372745946,NN
